,user_id,user_name,usersurname,email,password,year_bird,gender,mother_tongue,years_in,studies,working,support_type,expert,area,preference,date
20,21,CzuQuyF,hJMJqfyW,rfywiakOtU@gmail.com,uvhFfimuy,1976,Masculino,"Español, Ucraniano",De 6 meses a 1 año,Doctorado,No especificar,Emocional,No,Valle Medio del Lozoya,"Baile, Cocina, Fotografia",2022-06-25
21,22,ZTvuhZi,tNtDoMtX,mnJLYABjGi@gmail.com,jREmXvukv,1998,Masculino,"Portugues, Rumano",De 1 año a 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas  legales,No,Valle Medio del Lozoya,"Juegos, Cine, Naturaleza",2021-07-02
22,23,XOYrSSm,ptclPiTy,sujlfJiNTq@gmail.com,bjwjBMqlJ,1981,Femenino,"Portugues, Español",Más de 2 años,Master,Si,Orientacion laboral,Si,Valle Medio del Lozoya,"Fotografia, Cocina, Juegos",2021-01-30
23,24,YSmhEsw,ZBkhadRk,auLHeUKpvz@gmail.com,aNsfQAnuo,1986,Femenino,"Español, Portugues",De 1 año a 2 años,Doctorado,No especificar,Emocional,Si,Valle del Jarama,"Musica, Pintura, Lectura",2021-08-25
24,25,RXbwmYc,wspyGpui,VylGPMLYNc@gmail.com,pOFZiJNrK,1996,No especificar,Chino,Más de 2 años,Sin graduado escolar,Si,Emocional,No,Valle Medio del Lozoya,"Baile, Deportes, Cocina",2022-05-25
25,26,PfYkQDj,pcuhRgqK,MKDgdLdENU@gmail.com,TjfIpvMjf,1966,Masculino,"Arabe, Aleman",De 6 meses a 1 año,Doctorado,No,Emocional,Si,Valle Alto del Lozoya,"Baile, Deportes, Cine",2022-03-08
26,27,vJOHEnR,iTTWaQEg,EFlHTCulTt@gmail.com,nnrDKhnNo,1986,Masculino,Rumano,De 1 año a 2 años,Doctorado,No,Emocional,No,Sierra del Rincon,"Lectura, Pintura, Juegos",2021-10-04
27,28,jkiCIMu,WdHdZZqI,KFNeGwsYIc@gmail.com,YNZYnGuTj,1973,Masculino,Chino,Menos de 6 meses,Master,No,Orientacion laboral,No,Valle Alto del Lozoya,"Cine, Juegos, Musica",2022-11-01
28,29,KtgwYIE,XNdkhKzn,chhkSUDBNT@gmail.com,oSPktRxbs,1995,No especificar,"Frances, Rumano",De 1 año a 2 años,Con graduado escolar,Si,Orientacion laboral,No,Valle Alto del Lozoya,"Cocina, Pintura, Cine",2022-11-21
29,30,IFctSJs,qIqdCntP,npDzFzcIsg@gmail.com,pnCqNlDos,1981,Masculino,"Español, Aleman",Más de 2 años,Grado universitario,Si,Orientación sobre trámites,Si,Sierra de la Cabrera,"Deportes, Cocina, Viajar",2022-04-21
30,31,mNCoTCn,gAYwdwRu,QlOFQwoVkj@gmail.com,yTCWUzHWS,1992,Femenino,Aleman,Menos de 6 meses,Master,No,Orientacion sobre temas  legales,Si,Sierra de la Cabrera,"Naturaleza, Viajar, Fotografia",2022-08-22
31,32,pspZSfa,ILTTKIpK,cTIgslspOp@gmail.com,jbWiHihwy,1974,Femenino,Rumano,De 1 año a 2 años,Doctorado,No especificar,Orientacion sobre temas  legales,No,Valle Alto del Lozoya,"Naturaleza, Baile, Musica",2022-06-30
32,33,ewfUXdK,mGKkLRac,lczimwUrqf@gmail.com,OLFVxHjNS,1985,No especificar,Arabe,De 6 meses a 1 año,Con graduado escolar,Si,Orientación sobre trámites,No,Sierra del Rincon,"Musica, Naturaleza, Deportes",2022-10-17
33,34,wUDxGYf,nKHaMfVb,GFUusYlLEf@gmail.com,kiXprTOXK,1993,No especificar,"Ingles, Español",Menos de 6 meses,Grado universitario,No,Emocional,No,Sierra del Rincon,"Deportes, Fotografia, Juegos",2021-03-12
34,35,DqVBdRX,ahELbeNI,UezqpdEUiY@gmail.com,mwVchyIaA,1980,No especificar,Aleman,De 1 año a 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas  legales,No,Valle Alto del Lozoya,"Baile, Lectura, Cocina",2022-05-08
35,36,sCOZlxp,IEKocYWu,uygtVyIwxf@gmail.com,gxZSTUlmW,1976,Femenino,"Rumano, Chino",De 6 meses a 1 año,Master,Si,Orientación sobre trámites,No,Valle Medio del Lozoya,"Pintura, Fotografia, Viajar",2021-02-13
36,37,VWakKmk,ctqsUoOf,pgynuyXEdL@gmail.com,xaGMtXgvu,2002,No especificar,"Rumano, Italiano",De 1 año a 2 años,Grado universitario,Si,Orientación sobre trámites,Si,Sierra de la Cabrera,"Deportes, Cine, Fotografia",2021-04-18
37,38,apJuNkL,cghLsjMv,WFWLoDlxXh@gmail.com,MJSEPhQKt,1994,Femenino,"Italiano, Aleman",Más de 2 años,Doctorado,Si,Orientacion sobre temas  legales,No,Sierra del Rincon,"Pintura, Naturaleza, Fotografia",2021-04-11
38,39,IQcaefC,GOZFsfYr,qWIFoeSwuh@gmail.com,lWxfVMOQA,1986,Femenino,"Italiano, Portugues",Más de 2 años,FP (Formacion Profesional),Si,Orientacion laboral,Si,Valle Bajo del Lozoya,"Juegos, Lectura, Pintura",2022-07-08
39,40,HwPfiKy,orWwVTvM,OBEuYrBelW@gmail.com,EosQWcAjP,1968,Femenino,"Aleman, Ingles",De 1 año a 2 años,Sin graduado escolar,Si,Orientacion sobre temas  legales,Si,Valle Bajo del Lozoya,"Musica, Lectura, Baile",2021-04-12
40,41,KYGfalI,wxakjEzM,tHsVhxArKu@gmail.com,LLTkSXgOz,1990,Masculino,Aleman,Más de 2 años,Con graduado escolar,Si,Orientacion sobre temas  legales,Si,Valle Alto del Lozoya,"Lectura, Viajar, Baile",2021-03-13
41,42,NvzFEsm,einEcWXb,nJIoCHddDp@gmail.com,OIRYwLKcf,1982,Masculino,"Ucraniano, Frances",Más de 2 años,Master,No especificar,Orientación sobre trámites,Si,Valle Alto del Lozoya,"Pintura, Cine, Viajar",2021-05-07
42,43,tERBRKU,mNKWiVXK,whqmijbRsE@gmail.com,gyRClTFWN,1982,Femenino,Chino,Más de 2 años,Grado universitario,No,Orientacion sobre temas  legales,No,Valle del Jarama,"Deportes, Cocina, Viajar",2021-04-11
43,44,XSZmEBm,EOBnQBBd,hAWewQknZD@gmail.com,VELWBgCuP,1978,Femenino,"Ucraniano, Portugues",De 6 meses a 1 año,FP (Formacion Profesional),Si,Orientacion laboral,No,Sierra del Rincon,"Viajar, Naturaleza, Lectura",2022-02-26
44,45,PSGZKRP,TyjpwjjR,etNmweXzqF@gmail.com,sFmVkqZxb,1993,No especificar,Español,Más de 2 años,Doctorado,No especificar,Orientación sobre trámites,No,Valle Alto del Lozoya,"Juegos, Deportes, Viajar",2022-06-22
45,46,cTQGoeF,PXSIWogu,BhUISpAmkr@gmail.com,hrkhRyrCE,1971,Masculino,"Ingles, Frances",Más de 2 años,Doctorado,No,Orientacion sobre temas  legales,No,Sierra del Rincon,"Fotografia, Pintura, Baile",2021-08-27
46,47,pxCtLPB,LGoTWpjz,awFCTOFWhP@gmail.com,UePrObyoT,1967,Femenino,Italiano,Más de 2 años,Doctorado,No especificar,Orientación sobre trámites,No,Sierra de la Cabrera,"Deportes, Pintura, Viajar",2021-06-11
47,48,wUsPjRP,DZDeXcmc,QqgqfpCaoh@gmail.com,iUhmHqeKH,1967,No especificar,Ingles,Menos de 6 meses,Con graduado escolar,Si,Emocional,Si,Sierra del Rincon,"Lectura, Naturaleza, Viajar",2021-02-01
48,49,LEhNSdB,ZXOwczUb,IercNgqaut@gmail.com,HiuTFTNia,1977,Masculino,"Chino, Ingles",Menos de 6 meses,Con graduado escolar,No especificar,Emocional,Si,Valle Alto del Lozoya,"Pintura, Baile, Musica",2022-02-28
49,50,EHwAmZK,SWAYxbAu,tadBrHEGbY@gmail.com,hjuEndboo,1982,No especificar,"Español, Chino",De 6 meses a 1 año,Sin graduado escolar,No,Orientacion sobre temas  legales,No,Valle Alto del Lozoya,"Baile, Cocina, Viajar",2021-03-27
50,51,uswsvno,BUjduavu,BXGLKHcouv@gmail.com,YERxKYyyM,1995,Masculino,Italiano,Más de 2 años,FP (Formacion Profesional),Si,Orientacion sobre temas  legales,Si,Sierra de la Cabrera,"Baile, Naturaleza, Cocina",2021-07-24
51,52,PgSPaOG,xqZLeGAe,xZtFCMTMNP@gmail.com,xYOIVlTiT,1999,No especificar,"Ucraniano, Español",Más de 2 años,Master,No especificar,Emocional,Si,Valle Alto del Lozoya,"Cine, Pintura, Naturaleza",2021-06-17
52,53,rkKDbbh,CJZplosA,XaVaytmKDJ@gmail.com,NHqAklMay,1980,Femenino,"Frances, Ingles",De 1 año a 2 años,Master,No,Orientacion sobre temas  legales,Si,Sierra del Rincon,"Juegos, Musica, Baile",2021-02-27
53,54,LqZNIhM,zUnWxhQe,MMLBBGVXIu@gmail.com,SAhMbZkue,1999,No especificar,Portugues,Más de 2 años,Sin graduado escolar,No especificar,Orientacion laboral,No,Valle Alto del Lozoya,"Pintura, Juegos, Baile",2022-05-13
54,55,ZNNDxLa,BHoYwplS,fswfiMvMIe@gmail.com,LfmpkquWA,1980,Femenino,"Portugues, Arabe",Menos de 6 meses,Con graduado escolar,No especificar,Emocional,No,Sierra de la Cabrera,"Fotografia, Lectura, Viajar",2022-06-21
55,56,dUfmEyG,snhuABmj,DGqHxLvTYg@gmail.com,PfCYNkwuv,1981,Masculino,Ingles,Menos de 6 meses,Doctorado,Si,Orientación sobre trámites,Si,Valle Alto del Lozoya,"Deportes, Cine, Baile",2022-06-14
56,57,yJomIaM,UNFqUFpq,RuWOxoZHdw@gmail.com,swoZsKpCh,1993,Masculino,Ingles,Menos de 6 meses,Con graduado escolar,Si,Orientación sobre trámites,Si,Valle Bajo del Lozoya,"Baile, Juegos, Deportes",2022-12-22
57,58,yfMoyvY,PhwTVcYO,iLbTOZftcQ@gmail.com,pekVoHkEh,1997,Masculino,"Italiano, Rumano",Menos de 6 meses,Master,Si,Orientacion sobre temas  legales,No,Valle Medio del Lozoya,"Viajar, Fotografia, Cocina",2021-06-08
58,59,zkElDUP,LcRIBSdj,XkesQSkNzU@gmail.com,CfbblvtfM,1993,Femenino,"Arabe, Frances",De 1 año a 2 años,Master,No,Orientacion laboral,Si,Sierra del Rincon,"Baile, Cine, Musica",2021-04-08
59,60,eHbFvOV,GPzMZnem,tlDEQGARkE@gmail.com,RpFAYWvEn,1970,Masculino,"Portugues, Español",Menos de 6 meses,Con graduado escolar,No especificar,Orientacion laboral,Si,Sierra de la Cabrera,"Lectura, Fotografia, Cine",2022-10-15
60,61,ksZolUR,AsNPQgGK,iKTgqvjIgD@gmail.com,TqtWiYWUg,1999,Masculino,Chino,Más de 2 años,Sin graduado escolar,Si,Orientación sobre trámites,Si,Valle del Jarama,"Baile, Fotografia, Viajar",2022-05-13
61,62,MRHjYIN,HKjqxeVk,JHOvjPasJc@gmail.com,omgtNBKtH,1971,Femenino,"Portugues, Ingles",De 1 año a 2 años,Sin graduado escolar,Si,Emocional,Si,Valle Alto del Lozoya,"Cocina, Baile, Naturaleza",2021-07-16
62,63,zDXUuns,ORnBqnHN,jQdbWULLco@gmail.com,hDCBrymfr,1975,No especificar,Portugues,De 6 meses a 1 año,FP (Formacion Profesional),Si,Orientacion laboral,Si,Valle Bajo del Lozoya,"Musica, Deportes, Baile",2022-07-07
63,64,WxSnBBy,obILtwoW,NpMOHvQyhu@gmail.com,YpTaGOhck,1996,Masculino,"Aleman, Italiano",De 1 año a 2 años,Sin graduado escolar,Si,Emocional,No,Sierra de la Cabrera,"Musica, Lectura, Baile",2022-08-28
64,65,JXJOcQA,nWgFvNjE,FyNZVHVwaO@gmail.com,dcDVxNWpg,1999,No especificar,Frances,De 1 año a 2 años,Grado universitario,No,Emocional,Si,Sierra de la Cabrera,"Cocina, Viajar, Lectura",2021-05-30
65,66,avTRgdu,wGwcrnuW,duLfjWLdpq@gmail.com,KZLVsNUpV,1974,No especificar,Aleman,Menos de 6 meses,Grado universitario,No especificar,Emocional,Si,Valle del Jarama,"Cine, Deportes, Cocina",2023-01-08
66,67,pYqqwHg,CJxrhWsh,IUaWnysYrp@gmail.com,yITbYJsYD,1999,Masculino,"Frances, Ingles",De 1 año a 2 años,Master,Si,Emocional,Si,Valle Alto del Lozoya,"Lectura, Fotografia, Pintura",2022-03-15
67,68,pUFMvpQ,jVnjFugn,BQeXDsWZXL@gmail.com,EPwqDIiWw,1997,No especificar,Chino,Más de 2 años,Doctorado,Si,Orientación sobre trámites,No,Valle Bajo del Lozoya,"Pintura, Fotografia, Naturaleza",2021-11-07
68,69,pcenyjc,DeGkFwKX,mwUHavnJYR@gmail.com,YHlMOhAjx,1970,Femenino,"Rumano, Arabe",Menos de 6 meses,Sin graduado escolar,No,Orientación sobre trámites,No,Sierra del Rincon,"Cocina, Deportes, Viajar",2021-06-18
69,70,WBdwxvZ,mLtNiomi,yHLVSSWRta@gmail.com,PfmBXwVUo,1975,Masculino,Ucraniano,De 6 meses a 1 año,Sin graduado escolar,Si,Orientación sobre trámites,No,Valle del Jarama,"Cine, Pintura, Lectura",2022-06-09
70,71,mMyVWXr,JAagGSOI,wOZYlarWex@gmail.com,IhhIhIFzh,1964,No especificar,"Frances, Aleman",De 6 meses a 1 año,Sin graduado escolar,No,Orientación sobre trámites,Si,Valle Medio del Lozoya,"Fotografia, Juegos, Naturaleza",2021-10-26
71,72,EkmWQNv,FeHIGduz,GDnNNhghLy@gmail.com,pcOSfXYiR,1977,Femenino,"Ingles, Rumano",De 1 año a 2 años,Sin graduado escolar,No,Orientacion sobre temas  legales,Si,Valle del Jarama,"Juegos, Pintura, Cocina",2022-10-18
72,73,gHLMEap,EjPHGKbr,EirOIwTTNl@gmail.com,SZIklJrpb,1965,Masculino,Frances,Más de 2 años,FP (Formacion Profesional),No,Orientacion laboral,Si,Sierra del Rincon,"Viajar, Lectura, Naturaleza",2022-01-03
73,74,EHtyLie,NKldcgby,AGgYNFHbkt@gmail.com,YgZbSmIyK,1973,Femenino,"Italiano, Arabe",Más de 2 años,Doctorado,No,Orientación sobre trámites,Si,Sierra del Rincon,"Deportes, Fotografia, Naturaleza",2021-11-09
74,75,knorXTG,JHDHAESa,SnmQcMdxjD@gmail.com,efizcpJoQ,2003,Masculino,Arabe,De 6 meses a 1 año,FP (Formacion Profesional),Si,Emocional,Si,Valle del Jarama,"Lectura, Baile, Viajar",2022-12-01
75,76,ERLhZSh,TmndAgvp,iWUqLDcFAd@gmail.com,cchqeBOBP,1967,No especificar,Ucraniano,De 1 año a 2 años,FP (Formacion Profesional),No,Emocional,No,Valle del Jarama,"Naturaleza, Viajar, Pintura",2021-01-28
76,77,cVYsJOY,lniYKxyL,GVPWpbHfXQ@gmail.com,LFZpNwRAq,1995,Masculino,Arabe,De 6 meses a 1 año,Con graduado escolar,No especificar,Emocional,No,Valle Bajo del Lozoya,"Lectura, Naturaleza, Deportes",2022-02-28
77,78,PhpoxVI,PQycguSV,lxHSvjEaus@gmail.com,EzYkrGPlK,2000,No especificar,"Frances, Chino",De 6 meses a 1 año,Con graduado escolar,No especificar,Orientación sobre trámites,No,Valle Bajo del Lozoya,"Baile, Juegos, Cocina",2022-06-25
78,79,tcCnsoI,WnULwDsQ,OGAdoBIEXo@gmail.com,GLikhDklO,1985,Masculino,Italiano,De 6 meses a 1 año,Con graduado escolar,No especificar,Orientacion sobre temas  legales,Si,Sierra del Rincon,"Pintura, Naturaleza, Musica",2021-05-22
79,80,xyBwipe,MNExooFO,IOgWDLlsCN@gmail.com,HUfAvbmnn,1981,Femenino,Chino,Menos de 6 meses,Master,No especificar,Orientacion laboral,No,Valle del Jarama,"Cocina, Pintura, Deportes",2021-07-20
80,81,IWIanKK,VxXHRxrs,GieynuoJcn@gmail.com,ujTMrGOqq,1976,No especificar,"Español, Aleman",Menos de 6 meses,Sin graduado escolar,No,Orientacion sobre temas  legales,Si,Valle Medio del Lozoya,"Juegos, Baile, Pintura",2022-06-18
81,82,gNTOvYN,TPSuUnUg,FKDzSzhCGH@gmail.com,nfkmbJiUZ,1988,No especificar,"Ucraniano, Aleman",De 1 año a 2 años,Master,Si,Orientacion laboral,Si,Sierra del Rincon,"Juegos, Fotografia, Lectura",2022-02-05
82,83,vSEUTZC,GdlgwhJE,DNlezdELJd@gmail.com,VudXMbGzv,1976,Femenino,"Ingles, Aleman",De 1 año a 2 años,Master,Si,Emocional,No,Sierra de la Cabrera,"Juegos, Deportes, Viajar",2022-01-30
83,84,eHmRFxP,ezBzcocW,tlbLAZgsdx@gmail.com,PaCwEEDLC,1992,Masculino,"Ucraniano, Chino",De 6 meses a 1 año,Con graduado escolar,No especificar,Orientacion laboral,No,Sierra de la Cabrera,"Viajar, Lectura, Cocina",2022-01-05
84,85,xWLGJkJ,FfijfvuO,SfiZMJKAbH@gmail.com,TdPZifXbw,1980,Masculino,"Portugues, Ucraniano",Más de 2 años,Con graduado escolar,Si,Orientacion laboral,Si,Sierra de la Cabrera,"Deportes, Musica, Cine",2022-10-22
85,86,xwoMrYd,UgaIwszH,JBxKIJbxbl@gmail.com,niXErBOjA,1999,No especificar,Rumano,Menos de 6 meses,Grado universitario,Si,Orientación sobre trámites,Si,Valle Alto del Lozoya,"Cine, Pintura, Fotografia",2021-09-30
86,87,LmBHout,pAyrqkHu,mUGuIJvXqc@gmail.com,ZnGlEHPza,2003,Masculino,"Frances, Portugues",De 6 meses a 1 año,Sin graduado escolar,No,Emocional,Si,Valle Alto del Lozoya,"Cocina, Cine, Musica",2022-11-05
87,88,YHsCTAo,puowFvsm,jzdGDcEWpx@gmail.com,zMWxmVJox,1982,No especificar,"Chino, Español",Más de 2 años,Sin graduado escolar,No,Orientación sobre trámites,Si,Valle del Jarama,"Juegos, Musica, Viajar",2021-12-15
88,89,rjOHASc,gBRJCbmS,DesIqkGqda@gmail.com,ngUCKABVS,1988,No especificar,"Ingles, Frances",Más de 2 años,Grado universitario,No,Orientacion sobre temas  legales,Si,Sierra del Rincon,"Baile, Cine, Cocina",2021-02-11
89,90,dqfMMNc,AjnDLmAm,DjFaYOrcuw@gmail.com,xDqPUhrPA,1990,No especificar,Frances,Menos de 6 meses,Master,Si,Orientación sobre trámites,No,Sierra del Rincon,"Naturaleza, Baile, Fotografia",2022-01-19
90,91,iPDmiHA,yGvipYDV,cdTWodxgDY@gmail.com,cAlmRXgBv,1977,Femenino,"Chino, Ucraniano",De 6 meses a 1 año,Sin graduado escolar,No especificar,Orientacion sobre temas  legales,No,Valle Medio del Lozoya,"Lectura, Fotografia, Juegos",2021-07-11
91,92,ifGoLQH,tWFCypwW,vFGsCtHbuQ@gmail.com,PNhChSvfb,1970,No especificar,Ucraniano,Más de 2 años,Doctorado,No,Orientacion laboral,Si,Sierra del Rincon,"Baile, Viajar, Musica",2021-08-19
92,93,UhiYkMk,wYOHcNhD,HahMJzcatV@gmail.com,BVFkntqel,1998,Femenino,Arabe,Más de 2 años,Con graduado escolar,No especificar,Orientacion laboral,No,Sierra del Rincon,"Baile, Lectura, Cine",2021-04-23
93,94,RYEhbwu,ARMEBgMF,nQRbNJnhbJ@gmail.com,GHlYDlLUd,1995,No especificar,Rumano,De 1 año a 2 años,Sin graduado escolar,Si,Emocional,Si,Valle Bajo del Lozoya,"Cine, Cocina, Naturaleza",2022-08-05
94,95,ZvOKjtI,EevUHFZO,ShhbUrFuvS@gmail.com,DfcsRQcxB,1971,No especificar,Portugues,De 6 meses a 1 año,Doctorado,Si,Emocional,Si,Valle Alto del Lozoya,"Cocina, Juegos, Baile",2022-11-09
95,96,kmCiUdb,MFRINzyZ,MEgKEJnkYZ@gmail.com,zmKVlQLUR,1968,No especificar,"Frances, Aleman",Más de 2 años,Con graduado escolar,No especificar,Orientacion sobre temas  legales,No,Valle Alto del Lozoya,"Viajar, Naturaleza, Fotografia",2022-07-14
96,97,obMApNc,xuCKomaO,UsAXbaxXLL@gmail.com,WhQUCbWXR,1980,Femenino,Italiano,De 6 meses a 1 año,Doctorado,Si,Orientacion laboral,Si,Valle del Jarama,"Naturaleza, Baile, Lectura",2022-07-08
97,98,ttXGLxh,pQTJyUxE,sGEEinjvQr@gmail.com,jPxMvbDWX,1988,Femenino,Español,Más de 2 años,Doctorado,No,Orientación sobre trámites,No,Sierra de la Cabrera,"Deportes, Juegos, Lectura",2021-08-06
98,99,CJkymKr,vCotZkLM,SPRXGKMGQx@gmail.com,ttQXYetlE,2002,Femenino,Chino,De 6 meses a 1 año,Sin graduado escolar,Si,Emocional,No,Sierra del Rincon,"Pintura, Cocina, Lectura",2021-08-28
99,100,EDtMePU,msDezoYS,kKQoEFcIFJ@gmail.com,SKftgUcFC,1989,Masculino,Italiano,Más de 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas  legales,No,Valle Medio del Lozoya,"Naturaleza, Lectura, Deportes",2022-03-04
100,101,OBojpZQ,scPzQjKR,ocIrnFlMXy@gmail.com,YqeyPijBA,1991,Femenino,Chino,De 6 meses a 1 año,Con graduado escolar,No,Orientacion laboral,No,Valle Bajo del Lozoya,"Viajar, Cine, Deportes",2022-04-28
101,102,OTjxTfZ,NadIPlTx,ZBnEOTqSYJ@gmail.com,htzNmHvdg,1965,Masculino,Ingles,Más de 2 años,Master,No especificar,Orientación sobre trámites,Si,Valle Medio del Lozoya,"Fotografia, Pintura, Lectura",2021-09-03
102,103,PKDCmTu,YsVLHVKq,uhZuXBwYuB@gmail.com,UohsUnmEx,1982,No especificar,Italiano,De 6 meses a 1 año,Con graduado escolar,No,Orientación sobre trámites,Si,Valle Bajo del Lozoya,"Musica, Pintura, Lectura",2021-03-18
103,104,CkSbZCg,GMOViPHd,aXJcQkjdre@gmail.com,uOQUBjpgv,1985,Masculino,"Chino, Frances",De 6 meses a 1 año,FP (Formacion Profesional),No especificar,Emocional,Si,Sierra de la Cabrera,"Viajar, Pintura, Cocina",2021-08-21
104,105,HPyREFy,uuvHEEeZ,eaHAfweqlc@gmail.com,KhnkVvbVJ,1968,Masculino,"Portugues, Rumano",De 6 meses a 1 año,FP (Formacion Profesional),No,Orientacion laboral,Si,Valle Medio del Lozoya,"Pintura, Cocina, Lectura",2022-03-24
105,106,SYcGWua,RcfADhqK,VqKGqxIMJI@gmail.com,QykbmUgpB,1995,Masculino,"Ingles, Aleman",De 6 meses a 1 año,Master,No especificar,Orientacion laboral,Si,Sierra de la Cabrera,"Musica, Viajar, Lectura",2021-05-29
