user_id,user_name,user_surname,email,password_,year_birth,gender,mother_tongue,years_in,studies,working,support_type,expert,area,about_me,date,country,pic
22,Joshua,Ellis,joshua.ellis5@gmail.com,jREmXvukv,1998,Masculino,"Portugues, Rumano",De 1 año a 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas legales,No,Valle Medio del Lozoya,"Juegos, Cine, Naturaleza",02/07/2021,,22.jpg
23,Mable,Randall,mable.randall9@hotmail.com,bjwjBMqlJ,1981,Femenino,"Portugues, Español",Más de 2 años,Master,Si,Orientacion laboral,Si,Valle Medio del Lozoya,"Fotografia, Cocina, Juegos",30/01/2021,,23.jpg
24,Vanessa,David,vanessa.david9@outlook.com,aNsfQAnuo,1986,Femenino,"Español, Portugues",De 1 año a 2 años,Doctorado,No especificar,Emocional,Si,Valle del Jarama,"Musica, Pintura, Lectura",25/08/2021,,24.jpg
25,Jessica,Bernice,jessica.bernice9@outlook.com,pOFZiJNrK,1996,No especificar,Chino,Más de 2 años,Sin graduado escolar,Si,Emocional,No,Valle Medio del Lozoya,"Baile, Deportes, Cocina",25/05/2022,,25.jpg
26,Barbara,Lashawn,barbara.lashawn5@hotmail.com,TjfIpvMjf,1966,Masculino,"Arabe, Aleman",De 6 meses a 1 año,Doctorado,No,Emocional,Si,Valle Alto del Lozoya,"Baile, Deportes, Cine",08/03/2022,,26.jpg
27,Darla,Linda,darla.linda3@mail.kz,nnrDKhnNo,1986,Masculino,Rumano,De 1 año a 2 años,Doctorado,No,Emocional,No,Sierra del Rincon,"Lectura, Pintura, Juegos",04/10/2021,,27.jpg
28,Manuel,Vickie,manuel.vickie5@aol.com,YNZYnGuTj,1973,Masculino,Chino,Menos de 6 meses,Master,No,Orientacion laboral,No,Valle Alto del Lozoya,"Cine, Juegos, Musica",01/11/2022,,28.jpg
29,Garrett,Margaret,garrett.margaret6@mail.com,oSPktRxbs,1995,No especificar,"Frances, Rumano",De 1 año a 2 años,Con graduado escolar,Si,Orientacion laboral,No,Valle Alto del Lozoya,"Cocina, Pintura, Cine",21/11/2022,,29.jpg
30,Jack,Allen,jack.allen5@gmail.com,pnCqNlDos,1981,Masculino,"Español, Aleman",Más de 2 años,Grado universitario,Si,Orientacion sobre tramites,Si,Sierra de la Cabrera,"Deportes, Cocina, Viajar",21/04/2022,,30.jpg
31,Robert,Katherine,robert.katherine9@hotmail.com,yTCWUzHWS,1992,Femenino,Aleman,Menos de 6 meses,Master,No,Orientacion sobre temas legales,Si,Sierra de la Cabrera,"Naturaleza, Viajar, Fotografia",22/08/2022,,31.jpg
32,Justin,Joshua,justin.joshua9@mail.kz,jbWiHihwy,1974,Femenino,Rumano,De 1 año a 2 años,Doctorado,No especificar,Orientacion sobre temas legales,No,Valle Alto del Lozoya,"Naturaleza, Baile, Musica",30/06/2022,,32.jpg
33,Eddie,Henry,eddie.henry5@gmail.com,OLFVxHjNS,1985,No especificar,Arabe,De 6 meses a 1 año,Con graduado escolar,Si,Orientacion sobre tramites,No,Sierra del Rincon,"Musica, Naturaleza, Deportes",17/10/2022,,33.jpg
34,Laura,Zoe,laura.zoe9@mail.kz,kiXprTOXK,1993,No especificar,"Ingles, Español",Menos de 6 meses,Grado universitario,No,Emocional,No,Sierra del Rincon,"Deportes, Fotografia, Juegos",12/03/2021,,34.jpg
35,Gary,Allen,gary.allen6@mail.kz,mwVchyIaA,1980,No especificar,Aleman,De 1 año a 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas legales,No,Valle Alto del Lozoya,"Baile, Lectura, Cocina",08/05/2022,,35.jpg
36,James,Emma,james.emma9@outlook.com,gxZSTUlmW,1976,Femenino,"Rumano, Chino",De 6 meses a 1 año,Master,Si,Orientacion sobre tramites,No,Valle Medio del Lozoya,"Pintura, Fotografia, Viajar",13/02/2021,,36.jpg
37,Bethany,Nathaniel,bethany.nathaniel9@mail.kz,xaGMtXgvu,2002,No especificar,"Rumano, Italiano",De 1 año a 2 años,Grado universitario,Si,Orientacion sobre tramites,Si,Sierra de la Cabrera,"Deportes, Cine, Fotografia",18/04/2021,,37.jpg
38,Debbie,Gladys,debbie.gladys6@mail.kz,MJSEPhQKt,1994,Femenino,"Italiano, Aleman",Más de 2 años,Doctorado,Si,Orientacion sobre temas legales,No,Sierra del Rincon,"Pintura, Naturaleza, Fotografia",11/04/2021,,38.jpg
39,Benita,Barry,benita.barry3@mail.com,lWxfVMOQA,1986,Femenino,"Italiano, Portugues",Más de 2 años,FP (Formacion Profesional),Si,Orientacion laboral,Si,Valle Bajo del Lozoya,"Juegos, Lectura, Pintura",08/07/2022,,39.jpg
40,Dwayne,Josephina,dwayne.josephina8@aol.com,EosQWcAjP,1968,Femenino,"Aleman, Ingles",De 1 año a 2 años,Sin graduado escolar,Si,Orientacion sobre temas legales,Si,Valle Bajo del Lozoya,"Musica, Lectura, Baile",12/04/2021,,40.jpg
41,Herbert,John,herbert.john5@mail.kz,LLTkSXgOz,1990,Masculino,Aleman,Más de 2 años,Con graduado escolar,Si,Orientacion sobre temas legales,Si,Valle Alto del Lozoya,"Lectura, Viajar, Baile",13/03/2021,,41.jpg
42,Charles,Meghann,charles.meghann2@hotmail.com,OIRYwLKcf,1982,Masculino,"Ucraniano, Frances",Más de 2 años,Master,No especificar,Orientacion sobre tramites,Si,Valle Alto del Lozoya,"Pintura, Cine, Viajar",07/05/2021,,42.jpg
43,Jennifer,Jennifer,jennifer.jennifer8@hotmail.com,gyRClTFWN,1982,Femenino,Chino,Más de 2 años,Grado universitario,No,Orientacion sobre temas legales,No,Valle del Jarama,"Deportes, Cocina, Viajar",11/04/2021,,43.jpg
44,Ericka,Jacqueline,ericka.jacqueline7@mail.kz,VELWBgCuP,1978,Femenino,"Ucraniano, Portugues",De 6 meses a 1 año,FP (Formacion Profesional),Si,Orientacion laboral,No,Sierra del Rincon,"Viajar, Naturaleza, Lectura",26/02/2022,,44.jpg
45,Betty,Allan,betty.allan2@outlook.com,sFmVkqZxb,1993,No especificar,Español,Más de 2 años,Doctorado,No especificar,Orientacion sobre tramites,No,Valle Alto del Lozoya,"Juegos, Deportes, Viajar",22/06/2022,,45.jpg
46,Ira,Genevieve,ira.genevieve2@outlook.com,hrkhRyrCE,1971,Masculino,"Ingles, Frances",Más de 2 años,Doctorado,No,Orientacion sobre temas legales,No,Sierra del Rincon,"Fotografia, Pintura, Baile",27/08/2021,,46.jpg
47,Marjorie,Carol,marjorie.carol7@outlook.com,UePrObyoT,1967,Femenino,Italiano,Más de 2 años,Doctorado,No especificar,Orientacion sobre tramites,No,Sierra de la Cabrera,"Deportes, Pintura, Viajar",11/06/2021,,47.jpg
48,Martha,Barbara,martha.barbara9@aol.com,iUhmHqeKH,1967,No especificar,Ingles,Menos de 6 meses,Con graduado escolar,Si,Emocional,Si,Sierra del Rincon,"Lectura, Naturaleza, Viajar",01/02/2021,,48.jpg
49,Catherine,Eileen,catherine.eileen9@mail.com,HiuTFTNia,1977,Masculino,"Chino, Ingles",Menos de 6 meses,Con graduado escolar,No especificar,Emocional,Si,Valle Alto del Lozoya,"Pintura, Baile, Musica",28/02/2022,,49.jpg
50,Monica,Lorraine,monica.lorraine6@yahoo.com,hjuEndboo,1982,No especificar,"Español, Chino",De 6 meses a 1 año,Sin graduado escolar,No,Orientacion sobre temas legales,No,Valle Alto del Lozoya,"Baile, Cocina, Viajar",27/03/2021,,50.jpg
51,Dolly,John,dolly.john5@gmail.com,YERxKYyyM,1995,Masculino,Italiano,Más de 2 años,FP (Formacion Profesional),Si,Orientacion sobre temas legales,Si,Sierra de la Cabrera,"Baile, Naturaleza, Cocina",24/07/2021,,51.jpg
52,James,Roy,james.roy4@outlook.com,xYOIVlTiT,1999,No especificar,"Ucraniano, Español",Más de 2 años,Master,No especificar,Emocional,Si,Valle Alto del Lozoya,"Cine, Pintura, Naturaleza",17/06/2021,,52.jpg
53,Juana,Erin,juana.erin8@gmail.com,NHqAklMay,1980,Femenino,"Frances, Ingles",De 1 año a 2 años,Master,No,Orientacion sobre temas legales,Si,Sierra del Rincon,"Juegos, Musica, Baile",27/02/2021,,53.jpg
54,Ronnie,Antonio,ronnie.antonio9@gmail.com,SAhMbZkue,1999,No especificar,Portugues,Más de 2 años,Sin graduado escolar,No especificar,Orientacion laboral,No,Valle Alto del Lozoya,"Pintura, Juegos, Baile",13/05/2022,,54.jpg
55,Steven,Donna,steven.donna6@aol.com,LfmpkquWA,1980,Femenino,"Portugues, Arabe",Menos de 6 meses,Con graduado escolar,No especificar,Emocional,No,Sierra de la Cabrera,"Fotografia, Lectura, Viajar",21/06/2022,,55.jpg
56,Greg,Randolph,greg.randolph3@mail.kz,PfCYNkwuv,1981,Masculino,Ingles,Menos de 6 meses,Doctorado,Si,Orientacion sobre tramites,Si,Valle Alto del Lozoya,"Deportes, Cine, Baile",14/06/2022,,56.jpg
57,Richard,Clarence,richard.clarence3@gmail.com,swoZsKpCh,1993,Masculino,Ingles,Menos de 6 meses,Con graduado escolar,Si,Orientacion sobre tramites,Si,Valle Bajo del Lozoya,"Baile, Juegos, Deportes",22/12/2022,,57.jpg
58,Patricia,Cindy,patricia.cindy8@hotmail.com,pekVoHkEh,1997,Masculino,"Italiano, Rumano",Menos de 6 meses,Master,Si,Orientacion sobre temas legales,No,Valle Medio del Lozoya,"Viajar, Fotografia, Cocina",08/06/2021,,58.jpg
59,Brent,Martha,brent.martha9@mail.kz,CfbblvtfM,1993,Femenino,"Arabe, Frances",De 1 año a 2 años,Master,No,Orientacion laboral,Si,Sierra del Rincon,"Baile, Cine, Musica",08/04/2021,,59.jpg
60,Ryan,Jodi,ryan.jodi1@hotmail.com,RpFAYWvEn,1970,Masculino,"Portugues, Español",Menos de 6 meses,Con graduado escolar,No especificar,Orientacion laboral,Si,Sierra de la Cabrera,"Lectura, Fotografia, Cine",15/10/2022,,60.jpg
61,John,Anthony,john.anthony4@hotmail.com,TqtWiYWUg,1999,Masculino,Chino,Más de 2 años,Sin graduado escolar,Si,Orientacion sobre tramites,Si,Valle del Jarama,"Baile, Fotografia, Viajar",13/05/2022,,61.jpg
62,Michael,Ann,michael.ann2@mail.com,omgtNBKtH,1971,Femenino,"Portugues, Ingles",De 1 año a 2 años,Sin graduado escolar,Si,Emocional,Si,Valle Alto del Lozoya,"Cocina, Baile, Naturaleza",16/07/2021,,62.jpg
63,Sammy,Marion,sammy.marion7@mail.kz,hDCBrymfr,1975,No especificar,Portugues,De 6 meses a 1 año,FP (Formacion Profesional),Si,Orientacion laboral,Si,Valle Bajo del Lozoya,"Musica, Deportes, Baile",07/07/2022,,63.jpg
64,Mary,Dolores,mary.dolores6@hotmail.com,YpTaGOhck,1996,Masculino,"Aleman, Italiano",De 1 año a 2 años,Sin graduado escolar,Si,Emocional,No,Sierra de la Cabrera,"Musica, Lectura, Baile",28/08/2022,,64.jpg
65,Ashley,Andrea,ashley.andrea7@mail.kz,dcDVxNWpg,1999,No especificar,Frances,De 1 año a 2 años,Grado universitario,No,Emocional,Si,Sierra de la Cabrera,"Cocina, Viajar, Lectura",30/05/2021,,65.jpg
66,Kathleen,Emily,kathleen.emily9@mail.com,KZLVsNUpV,1974,No especificar,Aleman,Menos de 6 meses,Grado universitario,No especificar,Emocional,Si,Valle del Jarama,"Cine, Deportes, Cocina",08/01/2023,,66.jpg
67,Tyrone,Sara,tyrone.sara1@mail.kz,yITbYJsYD,1999,Masculino,"Frances, Ingles",De 1 año a 2 años,Master,Si,Emocional,Si,Valle Alto del Lozoya,"Lectura, Fotografia, Pintura",15/03/2022,,67.jpg
68,Anthony,Susan,anthony.susan9@hotmail.com,EPwqDIiWw,1997,No especificar,Chino,Más de 2 años,Doctorado,Si,Orientacion sobre tramites,No,Valle Bajo del Lozoya,"Pintura, Fotografia, Naturaleza",07/11/2021,,68.jpg
69,Martin,Keith,martin.keith6@hotmail.com,YHlMOhAjx,1970,Femenino,"Rumano, Arabe",Menos de 6 meses,Sin graduado escolar,No,Orientacion sobre tramites,No,Sierra del Rincon,"Cocina, Deportes, Viajar",18/06/2021,,69.jpg
70,Penny,Loretta,penny.loretta5@outlook.com,PfmBXwVUo,1975,Masculino,Ucraniano,De 6 meses a 1 año,Sin graduado escolar,Si,Orientacion sobre tramites,No,Valle del Jarama,"Cine, Pintura, Lectura",09/06/2022,,70.jpg
71,Rolando,William,rolando.william9@outlook.com,IhhIhIFzh,1964,No especificar,"Frances, Aleman",De 6 meses a 1 año,Sin graduado escolar,No,Orientacion sobre tramites,Si,Valle Medio del Lozoya,"Fotografia, Juegos, Naturaleza",26/10/2021,,71.jpg
72,Jeanne,Bernard,jeanne.bernard4@yahoo.com,pcOSfXYiR,1977,Femenino,"Ingles, Rumano",De 1 año a 2 años,Sin graduado escolar,No,Orientacion sobre temas legales,Si,Valle del Jarama,"Juegos, Pintura, Cocina",18/10/2022,,72.jpg
73,David,Michael,david.michael2@aol.com,SZIklJrpb,1965,Masculino,Frances,Más de 2 años,FP (Formacion Profesional),No,Orientacion laboral,Si,Sierra del Rincon,"Viajar, Lectura, Naturaleza",03/01/2022,,73.jpg
74,Vera,Larry,vera.larry1@gmail.com,YgZbSmIyK,1973,Femenino,"Italiano, Arabe",Más de 2 años,Doctorado,No,Orientacion sobre tramites,Si,Sierra del Rincon,"Deportes, Fotografia, Naturaleza",09/11/2021,,74.jpg
75,Robert,Jose,robert.jose6@mail.com,efizcpJoQ,2003,Masculino,Arabe,De 6 meses a 1 año,FP (Formacion Profesional),Si,Emocional,Si,Valle del Jarama,"Lectura, Baile, Viajar",01/12/2022,,75.jpg
76,Pedro,Jeremy,pedro.jeremy2@yahoo.com,cchqeBOBP,1967,No especificar,Ucraniano,De 1 año a 2 años,FP (Formacion Profesional),No,Emocional,No,Valle del Jarama,"Naturaleza, Viajar, Pintura",28/01/2021,,76.jpg
77,Rosanne,Joe,rosanne.joe1@yahoo.com,LFZpNwRAq,1995,Masculino,Arabe,De 6 meses a 1 año,Con graduado escolar,No especificar,Emocional,No,Valle Bajo del Lozoya,"Lectura, Naturaleza, Deportes",28/02/2022,,77.jpg
78,Kathleen,Mary,kathleen.mary3@hotmail.com,EzYkrGPlK,2000,No especificar,"Frances, Chino",De 6 meses a 1 año,Con graduado escolar,No especificar,Orientacion sobre tramites,No,Valle Bajo del Lozoya,"Baile, Juegos, Cocina",25/06/2022,,78.jpg
79,Barbara,Dion,barbara.dion9@hotmail.com,GLikhDklO,1985,Masculino,Italiano,De 6 meses a 1 año,Con graduado escolar,No especificar,Orientacion sobre temas legales,Si,Sierra del Rincon,"Pintura, Naturaleza, Musica",22/05/2021,,79.jpg
80,Bridgett,Edward,bridgett.edward8@gmail.com,HUfAvbmnn,1981,Femenino,Chino,Menos de 6 meses,Master,No especificar,Orientacion laboral,No,Valle del Jarama,"Cocina, Pintura, Deportes",20/07/2021,,80.jpg
81,Jesus,James,jesus.james9@hotmail.com,ujTMrGOqq,1976,No especificar,"Español, Aleman",Menos de 6 meses,Sin graduado escolar,No,Orientacion sobre temas legales,Si,Valle Medio del Lozoya,"Juegos, Baile, Pintura",18/06/2022,,81.jpg
82,Marian,Anh,marian.anh8@outlook.com,nfkmbJiUZ,1988,No especificar,"Ucraniano, Aleman",De 1 año a 2 años,Master,Si,Orientacion laboral,Si,Sierra del Rincon,"Juegos, Fotografia, Lectura",05/02/2022,,82.jpg
83,Leah,Gloria,leah.gloria9@mail.kz,VudXMbGzv,1976,Femenino,"Ingles, Aleman",De 1 año a 2 años,Master,Si,Emocional,No,Sierra de la Cabrera,"Juegos, Deportes, Viajar",30/01/2022,,83.jpg
84,Rosa,Bonny,rosa.bonny8@outlook.com,PaCwEEDLC,1992,Masculino,"Ucraniano, Chino",De 6 meses a 1 año,Con graduado escolar,No especificar,Orientacion laboral,No,Sierra de la Cabrera,"Viajar, Lectura, Cocina",05/01/2022,,84.jpg
85,William,Donna,william.donna6@hotmail.com,TdPZifXbw,1980,Masculino,"Portugues, Ucraniano",Más de 2 años,Con graduado escolar,Si,Orientacion laboral,Si,Sierra de la Cabrera,"Deportes, Musica, Cine",22/10/2022,,85.jpg
86,Jane,Ryan,jane.ryan3@aol.com,niXErBOjA,1999,No especificar,Rumano,Menos de 6 meses,Grado universitario,Si,Orientacion sobre tramites,Si,Valle Alto del Lozoya,"Cine, Pintura, Fotografia",30/09/2021,,86.jpg
87,Barbara,Clark,barbara.clark3@mail.kz,ZnGlEHPza,2003,Masculino,"Frances, Portugues",De 6 meses a 1 año,Sin graduado escolar,No,Emocional,Si,Valle Alto del Lozoya,"Cocina, Cine, Musica",05/11/2022,,87.jpg
88,Shannon,Mary,shannon.mary2@aol.com,zMWxmVJox,1982,No especificar,"Chino, Español",Más de 2 años,Sin graduado escolar,No,Orientacion sobre tramites,Si,Valle del Jarama,"Juegos, Musica, Viajar",15/12/2021,,88.jpg
89,Randy,Linda,randy.linda8@aol.com,ngUCKABVS,1988,No especificar,"Ingles, Frances",Más de 2 años,Grado universitario,No,Orientacion sobre temas legales,Si,Sierra del Rincon,"Baile, Cine, Cocina",11/02/2021,,89.jpg
90,Lavonne,Meghan,lavonne.meghan6@hotmail.com,xDqPUhrPA,1990,No especificar,Frances,Menos de 6 meses,Master,Si,Orientacion sobre tramites,No,Sierra del Rincon,"Naturaleza, Baile, Fotografia",19/01/2022,,90.jpg
91,Amy,Hubert,amy.hubert8@hotmail.com,cAlmRXgBv,1977,Femenino,"Chino, Ucraniano",De 6 meses a 1 año,Sin graduado escolar,No especificar,Orientacion sobre temas legales,No,Valle Medio del Lozoya,"Lectura, Fotografia, Juegos",11/07/2021,,91.jpg
92,Kathleen,Michael,kathleen.michael6@gmail.com,PNhChSvfb,1970,No especificar,Ucraniano,Más de 2 años,Doctorado,No,Orientacion laboral,Si,Sierra del Rincon,"Baile, Viajar, Musica",19/08/2021,,92.jpg
93,Tonja,Eric,tonja.eric7@mail.com,BVFkntqel,1998,Femenino,Arabe,Más de 2 años,Con graduado escolar,No especificar,Orientacion laboral,No,Sierra del Rincon,"Baile, Lectura, Cine",23/04/2021,,93.jpg
94,Cheryl,Daniel,cheryl.daniel6@yahoo.com,GHlYDlLUd,1995,No especificar,Rumano,De 1 año a 2 años,Sin graduado escolar,Si,Emocional,Si,Valle Bajo del Lozoya,"Cine, Cocina, Naturaleza",05/08/2022,,94.jpg
95,Ann,Christopher,ann.christopher2@hotmail.com,DfcsRQcxB,1971,No especificar,Portugues,De 6 meses a 1 año,Doctorado,Si,Emocional,Si,Valle Alto del Lozoya,"Cocina, Juegos, Baile",09/11/2022,,95.jpg
96,Gertrude,Elinor,gertrude.elinor7@yahoo.com,zmKVlQLUR,1968,No especificar,"Frances, Aleman",Más de 2 años,Con graduado escolar,No especificar,Orientacion sobre temas legales,No,Valle Alto del Lozoya,"Viajar, Naturaleza, Fotografia",14/07/2022,,96.jpg
97,Joseph,Shane,joseph.shane2@aol.com,WhQUCbWXR,1980,Femenino,Italiano,De 6 meses a 1 año,Doctorado,Si,Orientacion laboral,Si,Valle del Jarama,"Naturaleza, Baile, Lectura",08/07/2022,,97.jpg
98,Mary,Aaron,mary.aaron6@aol.com,jPxMvbDWX,1988,Femenino,Español,Más de 2 años,Doctorado,No,Orientacion sobre tramites,No,Sierra de la Cabrera,"Deportes, Juegos, Lectura",06/08/2021,,98.jpg
99,Robert,Marietta,robert.marietta6@aol.com,ttQXYetlE,2002,Femenino,Chino,De 6 meses a 1 año,Sin graduado escolar,Si,Emocional,No,Sierra del Rincon,"Pintura, Cocina, Lectura",28/08/2021,,99.jpg
100,John,Kirk,john.kirk6@aol.com,SKftgUcFC,1989,Masculino,Italiano,Más de 2 años,Sin graduado escolar,No especificar,Orientacion sobre temas legales,No,Valle Medio del Lozoya,"Naturaleza, Lectura, Deportes",04/03/2022,,100.jpg
101,James,Marcelina,james.marcelina3@yahoo.com,YqeyPijBA,1991,Femenino,Chino,De 6 meses a 1 año,Con graduado escolar,No,Orientacion laboral,No,Valle Bajo del Lozoya,"Viajar, Cine, Deportes",28/04/2022,,101.jpg
102,Nicole,Daniel,nicole.daniel2@aol.com,htzNmHvdg,1965,Masculino,Ingles,Más de 2 años,Master,No especificar,Orientacion sobre tramites,Si,Valle Medio del Lozoya,"Fotografia, Pintura, Lectura",03/09/2021,,102.jpg
103,John,Julius,john.julius6@hotmail.com,UohsUnmEx,1982,No especificar,Italiano,De 6 meses a 1 año,Con graduado escolar,No,Orientacion sobre tramites,Si,Valle Bajo del Lozoya,"Musica, Pintura, Lectura",18/03/2021,,103.jpg
104,Alice,Mildred,alice.mildred4@mail.kz,uOQUBjpgv,1985,Masculino,"Chino, Frances",De 6 meses a 1 año,FP (Formacion Profesional),No especificar,Emocional,Si,Sierra de la Cabrera,"Viajar, Pintura, Cocina",21/08/2021,,104.jpg
105,Meghan,Juan,meghan.juan7@hotmail.com,KhnkVvbVJ,1968,Masculino,"Portugues, Rumano",De 6 meses a 1 año,FP (Formacion Profesional),No,Orientacion laboral,Si,Valle Medio del Lozoya,"Pintura, Cocina, Lectura",24/03/2022,,105.jpg
106,Wanda,Roger,wanda.roger4@hotmail.com,QykbmUgpB,1995,Masculino,"Ingles, Aleman",De 6 meses a 1 año,Master,No especificar,Orientacion laboral,Si,Sierra de la Cabrera,"Musica, Viajar, Lectura",29/05/2021,,106.jpg
107,Sidney,Margaret,sidney.margaret5@yahoo.com,uIwLUADvu,1993,Femenino,"Frances, Ucraniano",De 6 meses a 1 año,Sin graduado escolar,Si,Emocional,No,Valle Medio del Lozoya,"Juegos, Fotografia, Naturaleza",03/03/2021,,107.jpg
108,Jill,Krystal,jill.krystal7@aol.com,gmGShzGMw,1975,No especificar,Portugues,Más de 2 años,Grado universitario,Si,Orientacion sobre temas legales,No,Valle del Jarama,"Cine, Juegos, Viajar",11/11/2021,,108.jpg
109,Alice,Peggy,alice.peggy8@hotmail.com,HygLfhhnH,1985,Femenino,"Portugues, Frances",Menos de 6 meses,Con graduado escolar,Si,Orientacion sobre tramites,Si,Sierra del Rincon,"Juegos, Naturaleza, Fotografia",12/11/2022,,109.jpg
110,Andrew,Sheila,andrew.sheila9@mail.kz,tqXDLmYug,1964,Femenino,"Arabe, Frances",De 1 año a 2 años,Doctorado,No,Orientacion sobre tramites,Si,Valle Alto del Lozoya,"Deportes, Cocina, Fotografia",13/08/2022,,110.jpg
